Round,Date,HomeTeam,Score,AwayTeam,Venue
1,Saturday 31 March,Adelaide Thunderbirds,57 +//0A4v/9AID//QCT- 40,New South Wales Swifts,+ACI-Netball SA Stadium, Adelaide+ACI-
1,Sunday 1 April,Queensland Firebirds,42 +//0A4v/9AID//QCT- 47,Melbourne Vixens,Brisbane Convention and Exhibition Centre
1,Sunday 1 April,Northern Mystics,51 +//0A4v/9AID//QCT- 47,Central Pulse,+ACI-Trusts Stadium, Auckland+ACI-
1,Monday 2 April,Southern Steel,49 +//0A4v/9AID//QCT- 47,Waikato Bay of Plenty Magic,+ACI-Stadium Southland Velodrome,Invercargill+ACI-
1,Monday 2 April,West Coast Fever,55 +//0A4v/9AID//QCT- 35,Canterbury Tactix,+ACI-Challenge Stadium, Perth+ACI-
2,Saturday 7 April,Central Pulse,47 +//0A4v/9AID//QCT- 42,Southern Steel,+ACI-Pettigrew Green Arena, Napier+ACI-
2,Sunday 8 April,Queensland Firebirds,44 +//0A4v/9AID//QCT- 54,Adelaide Thunderbirds,Brisbane Convention and Exhibition Centre
2,Sunday 8 April,West Coast Fever,41 +//0A4v/9AID//QCT- 50,Melbourne Vixens,+ACI-Challenge Stadium, Perth+ACI-
2,Sunday 8 April,Waikato Bay of Plenty Magic,41 +//0A4v/9AID//QCT- 47,Northern Mystics,+ACI-Claudelands Arena, Hamilton+ACI-
2,Monday 9 April,Canterbury Tactix,54 +//0A4v/9AID//QCT- 51,New South Wales Swifts,+ACI-CBS Canterbury Arena, Christchurch+ACI-
3,Sunday 15 April,Queensland Firebirds,58 +//0A4v/9AID//QCT- 32,Central Pulse,Brisbane Convention and Exhibition Centre
3,Sunday 15 April,Adelaide Thunderbirds,34 +//0A4v/9AID//QCT- 48,Melbourne Vixens,+ACI-Netball SA Stadium, Adelaide+ACI-
3,Sunday 15 April,Canterbury Tactix,53 +//0A4v/9AID//QCT- 55,Southern Steel,+ACI-CBS Canterbury Arena, Christchurch+ACI-
3,Monday 16 April,Northern Mystics,52 +//0A4v/9AID//QCT- 45,West Coast Fever,+ACI-Trusts Stadium, Auckland+ACI-
3,Monday 16 April,New South Wales Swifts,49 +//0A4v/9AID//QCT- 47,Waikato Bay of Plenty Magic,+ACI-State Sports Centre, Sydney+ACI-
4,Saturday 21 April,Southern Steel,53 +//0A4v/9AID//QCT- 56,West Coast Fever,+ACI-Lion Foundation Arena, Dunedin+ACI-
4,Sunday 22 April,Melbourne Vixens,40 +//0A4v/9AID//QCT- 39,Waikato Bay of Plenty Magic,+ACI-Hisense Arena, Melbourne+ACI-
4,Sunday 22 April,New South Wales Swifts,54 +//0A4v/9AID//QCT- 49,Queensland Firebirds,+ACI-State Sports Centre, Sydney+ACI-
4,Sunday 22 April,Northern Mystics,48 +//0A4v/9AID//QCT- 50,Adelaide Thunderbirds,+ACI-Trusts Stadium, Auckland+ACI-
4,Monday 23 April,Central Pulse,50 +//0A4v/9AID//QCT- 45,Canterbury Tactix,+ACI-Te Rauparaha Arena, Porirua+ACI-
5,Sunday 29 April,West Coast Fever,36 +//0A4v/9AID//QCT- 48,Adelaide Thunderbirds,+ACI-Challenge Stadium, Perth+ACI-
5,Sunday 29 April,Melbourne Vixens,52 +//0A4v/9AID//QCT- 51,Queensland Firebirds,+ACI-Hisense Arena, Melbourne+ACI-
5,Sunday 29 April,Central Pulse,47 +//0A4v/9AID//QCT- 51,Northern Mystics,+ACI-Arena Manawatu, Palmerston North+ACI-
5,Monday 30 April,Waikato Bay of Plenty Magic,61 +//0A4v/9AID//QCT- 52,Canterbury Tactix,+ACI-Energy Events Centre, Rotorua+ACI-
5,BYES:  New South Wales Swifts and Southern Steel,,,,
6,Sunday 6 May,New South Wales Swifts,39 +//0A4v/9AID//QCT- 36,Central Pulse,+ACI-State Sports Centre, Sydney+ACI-
6,Sunday 6 May,Queensland Firebirds,56 +//0A4v/9AID//QCT- 43,Northern Mystics,Gold Coast Convention and Exhibition Centre
6,Sunday 6 May,Waikato Bay of Plenty Magic,65 +//0A4v/9AID//QCT- 49,West Coast Fever,+ACI-TECT Arena, Tauranga+ACI-
6,Monday 7 May,Canterbury Tactix,41 +//0A4v/9AID//QCT- 65,Melbourne Vixens,+ACI-CBS Canterbury Arena, Christchurch+ACI-
6,Monday 7 May,Adelaide Thunderbirds,58 +//0A4v/9AID//QCT- 48,Southern Steel,+ACI-Netball SA Stadium, Adelaide+ACI-
7,Sunday 13 May,Adelaide Thunderbirds,60 +//0A4v/9AID//QCT- 43,West Coast Fever,+ACI-Netball SA Stadium, Adelaide+ACI-
7,Sunday 13 May,New South Wales Swifts,55 +//0A4v/9AID//QCT- 52,Melbourne Vixens,+ACI-Allphones Arena, Sydney+ACI-
7,Sunday 13 May,Southern Steel,45 +//0A4v/9AID//QCT- 49,Northern Mystics,+ACI-Lion Foundation Arena, Dunedin+ACI-
7,Monday 14 May,Central Pulse,46 +//0A4v/9AID//QCT- 56,Waikato Bay of Plenty Magic,+ACI-Te Rauparaha Arena, Porirua+ACI-
7,Monday 14 May,Queensland Firebirds,64 +//0A4v/9AID//QCT- 48,Canterbury Tactix,Brisbane Convention and Exhibition Centre
8,Saturday 19 May,Canterbury Tactix,42 +//0A4v/9AID//QCT- 65,Waikato Bay of Plenty Magic,+ACI-CBS Canterbury Arena, Christchurch+ACI-
8,Sunday 20 May,Melbourne Vixens,45 +//0A4v/9AID//QCT- 49,Northern Mystics,+ACI-Hisense Arena, Melbourne+ACI-
8,Sunday 20 May,New South Wales Swifts,52 +//0A4v/9AID//QCT- 47,West Coast Fever,Newcastle Entertainment Centre
8,Sunday 20 May,Southern Steel,60 +//0A4v/9AID//QCT- 61,Queensland Firebirds,+ACI-Stadium Southland Velodrome,Invercargill+ACI-
8,Monday 21 May,Central Pulse,47 +//0A4v/9AID//QCT- 46,Adelaide Thunderbirds,+ACI-TSB Bank Arena, Wellington+ACI-
9,Sunday 27 May,West Coast Fever,55 +//0A4v/9AID//QCT- 56,Queensland Firebirds,+ACI-Challenge Stadium, Perth+ACI-
9,Sunday 27 May,Melbourne Vixens,43 +//0A4v/9AID//QCT- 49,New South Wales Swifts,+ACI-Hisense Arena, Melbourne+ACI-
9,Sunday 27 May,Northern Mystics,57 +//0A4v/9AID//QCT- 56,Canterbury Tactix,+ACI-Trusts Stadium, Auckland+ACI-
9,Monday 28 May,Southern Steel,50 +//0A4v/9AID//QCT- 58,Central Pulse,+ACI-Lion Foundation Arena, Dunedin+ACI-
9,BYES:  Adelaide Thunderbirds and Waikato Bay of Plenty Magic,,,,
10,Sunday 3 June,Queensland Firebirds,50 +//0A4v/9AID//QCT- 45,New South Wales Swifts,Brisbane Convention and Exhibition Centre
10,Sunday 3 June,Melbourne Vixens,48 +//0A4v/9AID//QCT- 40,Adelaide Thunderbirds,+ACI-Hisense Arena, Melbourne+ACI-
10,Sunday 3 June,Canterbury Tactix,47 +//0A4v/9AID//QCT- 54,Central Pulse,+ACI-CBS Canterbury Arena, Christchurch+ACI-
10,Monday 4 June,Waikato Bay of Plenty Magic,66 +//0A4v/9AID//QCT- 47,Southern Steel,+ACI-Claudelands Arena, Hamilton+ACI-
10,BYES:  West Coast Fever and Northern Mystics,,,,
11,Sunday 10 June,Adelaide Thunderbirds,54 +//0A4v/9AID//QCT- 49,Queensland Firebirds,+ACI-Netball SA Stadium, Adelaide+ACI-
11,Sunday 10 June,West Coast Fever,49 +//0A4v/9AID//QCT- 51,New South Wales Swifts,+ACI-Challenge Stadium, Perth+ACI-
11,Sunday 10 June,Waikato Bay of Plenty Magic,52 +//0A4v/9AID//QCT- 42,Central Pulse,+ACI-TECT Arena, Tauranga+ACI-
11,Monday 11 June,Northern Mystics,60 +//0A4v/9AID//QCT- 49,Southern Steel,+ACI-Trusts Stadium, Auckland+ACI-
11,BYES:  Melbourne Vixens and Canterbury Tactix,,,,
12,Sunday 17 June,Melbourne Vixens,50 +//0A4v/9AID//QCT- 49,West Coast Fever,+ACI-Hisense Arena, Melbourne+ACI-
12,Sunday 17 June,New South Wales Swifts,35 +//0A4v/9AID//QCT- 62,Adelaide Thunderbirds,+ACI-State Sports Centre, Sydney+ACI-
12,Sunday 17 June,Northern Mystics,46 +//0A4v/9AID//QCT- 48,Waikato Bay of Plenty Magic,+ACI-Trusts Stadium, Auckland+ACI-
12,Monday 18 June,Southern Steel,61 +//0A4v/9AID//QCT- 62,Canterbury Tactix,Invercargill ILT Velodrome
12,BYES:  Queensland Firebirds and Central Pulse,,,,
13,Saturday 23 June,Waikato Bay of Plenty Magic,59 +//0A4v/9AID//QCT- 42,Adelaide Thunderbirds,+ACI-TECT Arena, Tauranga+ACI-
13,Sunday 24 June,New South Wales Swifts,55 +//0A4v/9AID//QCT- 42,Southern Steel,+ACI-State Sports Centre, Sydney+ACI-
13,Sunday 24 June,Queensland Firebirds,63 +//0A4v/9AID//QCT- 43,West Coast Fever,Brisbane Convention and Exhibition Centre
13,Sunday 24 June,Canterbury Tactix,55 +//0A4v/9AID//QCT- 64,Northern Mystics,+ACI-CBS Canterbury Arena, Christchurch+ACI-
13,Monday 25 June,Central Pulse,41 +//0A4v/9AID//QCT- 49,Melbourne Vixens,+ACI-Te Rauparaha, Porirua+ACI-
14,Saturday 30 June,Southern Steel,38 +//0A4v/9AID//QCT- 56,Melbourne Vixens,Invercargill ILT Velodrome
14,Sunday 1 July,Adelaide Thunderbirds,65 +//0A4v/9AID//QCT- 44,Canterbury Tactix,+ACI-Netball SA Stadium, Adelaide+ACI-
14,Sunday 1 July,West Coast Fever,40 +//0A4v/9AID//QCT- 38,Central Pulse,+ACI-Challenge Stadium, Perth+ACI-
14,Sunday 1 July,Northern Mystics,50 +//0A4v/9AID//QCT- 49,New South Wales Swifts,+ACI-Trusts Stadium, Auckland+ACI-
14,Monday 2 July,Waikato Bay of Plenty Magic,53 +//0A4v/9AID//QCT- 43,Queensland Firebirds,+ACI-Claudelands Arena, Hamilton+ACI-
15,Sunday 8 July,Melbourne Vixens,56 +AC0- 50,Northern Mystics,+ACI-Rod Laver Arena, Melbourne+ACI-
15,Monday 9 July,Waikato Bay of Plenty Magic,49 +AC0- 48,Adelaide Thunderbirds,+ACI-Claudelands Arena, Hamilton+ACI-
16,Monday 16 July,Northern Mystics,48 +AC0- 57,Waikato Bay of Plenty Magic,+ACI-Trusts Stadium, Auckland+ACI-
17,Sunday 22 July,Melbourne Vixens,38 +AC0- 41,Waikato Bay of Plenty Magic,+ACI-Hisense Arena, Melbourne+ACI-
